Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
ATP2B1,8,0.0022106,0.0024373,0.89239,0.98851,0.99806,0.99966,0.16443,0.18168,0.15715,0.48531,0.85583,0.99611
GPX5,8,0.22253,0.39694,0.65223,0.91909,0.69141,0.82839,0.1443,0.2583,0.20341,0.53627,0.79617,0.99611
ST6GALNAC6,8,-0.11175,-0.48564,0.66601,0.9204,0.62722,0.78803,-0.14777,-0.64319,0.90387,0.98229,0.5201,0.99611
CCBL2,8,0.43311,1.1718,0.31988,0.76893,0.24128,0.46724,0.089673,0.24262,0.33235,0.6634,0.8083,0.99611
KCTD20,8,0.37223,1.2605,0.40256,0.81366,0.2075,0.432,0.37459,1.2713,0.0026247,0.035714,0.20361,0.89039
SLC9C1,8,0.21118,0.85962,0.67487,0.92574,0.39,0.60526,0.12533,0.51094,0.24442,0.58147,0.60939,0.99611
SLC6A14,8,0.22469,0.79562,0.64829,0.91822,0.42625,0.63408,0.047653,0.16913,0.45965,0.76718,0.86569,0.99611
GABRB1,8,-0.075505,-0.22817,0.73917,0.94664,0.81951,0.9047,0.065216,0.19842,0.39862,0.71979,0.84272,0.99611
MGAT4A,8,0.38281,1.437,0.38615,0.80672,0.15072,0.35917,0.024195,0.090819,0.53642,0.81114,0.92764,0.99611
MMEL1,8,-0.2734,-0.88158,0.40682,0.81633,0.37801,0.59328,-0.2059,-0.66456,0.7231,0.90849,0.50633,0.99611
SLC16A6,8,0.084204,0.14656,0.93865,0.99138,0.88348,0.93804,0.092769,0.16157,0.32349,0.66004,0.87164,0.99611
AOAH,8,0.52837,0.91593,0.21227,0.66291,0.3597,0.57553,0.081519,0.14127,0.35302,0.68338,0.88766,0.99611
NANS,8,0.55171,0.6394,0.18996,0.63181,0.52256,0.7094,0.12358,0.14319,0.24639,0.58147,0.88614,0.99611
SLC12A9,8,0.31785,1.6476,0.49049,0.86583,0.099439,0.29014,-0.10694,-0.55421,0.96522,0.99224,0.57944,0.99611
SLC5A4,8,0.3742,0.42113,0.39993,0.81287,0.67366,0.81525,0.32344,0.36439,0.0091864,0.083582,0.71557,0.99611
HAS3,8,0.43864,0.97255,0.31332,0.76339,0.33078,0.54914,-0.037147,-0.082346,0.73819,0.91837,0.93437,0.99611
UAP1L1,8,0.68876,2.551,0.10367,0.52843,0.010742,0.086849,0.26736,0.99024,0.028543,0.18511,0.32206,0.99611
SMPD4,8,0.37479,1.3188,0.39862,0.81287,0.18723,0.40607,-0.008532,-0.030022,0.63944,0.86696,0.97605,0.99611
SLC39A13,8,0.8799,1.2128,0.038058,0.32222,0.22521,0.44982,-0.056792,-0.078205,0.80446,0.94818,0.93767,0.99611
GABRG1,8,-0.1223,-0.53062,0.64665,0.91674,0.59568,0.76365,0.13723,0.59881,0.21752,0.55033,0.5493,0.99611
NOX3,8,0.37194,1.1606,0.40354,0.81415,0.2458,0.47059,0.030389,0.09483,0.51673,0.80275,0.92445,0.99611
B3GALT1,8,0.3704,0.95976,0.40584,0.81543,0.33717,0.55642,0.36016,0.93365,0.003937,0.048,0.35048,0.99611
ASMTL,8,0.92551,1.8853,0.029199,0.28213,0.059385,0.22433,0.086627,0.1763,0.3376,0.66775,0.86006,0.99611
ACOX1,8,0.18583,0.97729,0.72507,0.94105,0.32842,0.54582,0.15626,0.82553,0.17356,0.50047,0.40907,0.99611
CBR3,8,0.25834,0.85793,0.58694,0.89049,0.39093,0.60577,0.14899,0.49503,0.19062,0.51875,0.62058,0.99611
HTR3A,8,0.46974,1.476,0.27428,0.74113,0.13994,0.34564,0.0094981,0.029837,0.57808,0.83082,0.9762,0.99611
NME1-NME2,3,-0.42381,-0.68624,0.48983,0.86583,0.49256,0.68817,-0.21842,-0.35609,0.6893,0.89328,0.72177,0.99611
G6PC2,8,0.55623,1.6426,0.18832,0.63181,0.10046,0.29088,0.37674,1.1127,0.0026247,0.035714,0.26584,0.98456
D2HGDH,8,0.29597,1.3699,0.52133,0.87164,0.17071,0.38518,-0.0029273,-0.01355,0.62238,0.86018,0.98919,0.99611
TH,8,0.45381,1.4925,0.29528,0.75,0.13558,0.33789,0.13681,0.45003,0.21785,0.55033,0.65269,0.99611
CACNB2,8,0.51008,1.7985,0.22802,0.68738,0.072099,0.24832,0.10071,0.35504,0.30741,0.64869,0.72256,0.99611
ST8SIA6,8,0.70919,1.8538,0.093504,0.51146,0.063775,0.23114,0.2867,0.74936,0.018701,0.14005,0.45364,0.99611
DUOX1,8,-0.073639,-0.35756,0.74344,0.94664,0.72067,0.84592,-0.073644,-0.35798,0.85597,0.96273,0.72036,0.99611
GOT2,8,0.67201,1.9919,0.10991,0.53772,0.046383,0.19812,-0.04378,-0.12961,0.75951,0.92935,0.89687,0.99611
KCNJ8,8,0.38473,0.85095,0.38222,0.80358,0.3948,0.60862,0.02466,0.054542,0.53478,0.81114,0.9565,0.99611
SLC47A1,8,0.58506,1.7027,0.16437,0.60434,0.088631,0.27609,0.0023233,0.0067587,0.60531,0.84633,0.99461,0.99613
RDH13,8,0.70539,2.2053,0.094488,0.51146,0.027436,0.15013,0.097923,0.30591,0.31463,0.6571,0.75967,0.99611
SLC30A1,8,1.0511,1.9541,0.011811,0.15789,0.050688,0.20554,0.018136,0.033672,0.55381,0.8188,0.97314,0.99611
GSR,8,-0.10915,-0.52457,0.67028,0.92193,0.59988,0.76632,0.13653,0.65778,0.21818,0.55033,0.51068,0.99611
SLCO1A2,8,0.53069,1.5245,0.21161,0.66291,0.12737,0.32806,0.018677,0.053631,0.55151,0.8188,0.95723,0.99611
GSTO2,8,0.41707,1.5571,0.34318,0.78118,0.11945,0.31786,0.023896,0.089209,0.5374,0.81114,0.92892,0.99611
KCNQ1,8,0.35583,1.202,0.42684,0.82868,0.22936,0.45341,0.18611,0.62894,0.11647,0.4104,0.52939,0.99611
B4GALT1,8,0.44849,0.80737,0.30217,0.75245,0.41945,0.62732,0.090516,0.16295,0.32907,0.66205,0.87056,0.99611
CYP4F3,8,0.57024,1.8631,0.1752,0.61231,0.062448,0.22823,0.34606,1.1308,0.0072178,0.077966,0.25813,0.97744
EDEM3,8,0.089179,0.21712,0.92815,0.99138,0.82812,0.90749,-0.463,-1.1252,0.21457,0.55033,0.26051,0.97744
ASIC3,8,-0.30918,-0.95538,0.36056,0.79181,0.33938,0.55735,-0.02497,-0.077253,0.69357,0.89489,0.93842,0.99611
SCNN1G,8,0.56959,0.50103,0.17585,0.61231,0.61635,0.77955,0.38036,0.33464,0.0022966,0.03211,0.7379,0.99611
SLC18A3,8,0.29295,1.0397,0.52592,0.87405,0.2985,0.51923,0.042118,0.14949,0.47966,0.78391,0.88117,0.99611
KCTD19,8,0.59302,1.1889,0.15879,0.59387,0.23447,0.45871,-0.10086,-0.20177,0.94718,0.99224,0.8401,0.99611
SLC39A11,8,0.068402,0.4066,0.97375,0.9947,0.6843,0.82408,0.032307,0.19242,0.5105,0.79918,0.84742,0.99611
GSTA3,8,-0.097547,-0.21135,0.6916,0.92904,0.83261,0.90928,0.20372,0.44234,0.090223,0.35668,0.65825,0.99611
SMPD3,8,-0.011565,-0.027031,0.86253,0.98136,0.97844,0.99079,-0.12147,-0.28423,0.98031,0.99504,0.77624,0.99611
SLC35D2,8,0.56058,0.93943,0.18471,0.62806,0.34751,0.5644,0.10144,0.16993,0.30315,0.64256,0.86506,0.99611
PLA2G12B,8,0.2096,0.24389,0.67717,0.92604,0.80732,0.89895,-0.073546,-0.085589,0.85597,0.96273,0.93179,0.99611
KCNA4,8,-0.1725,-0.45273,0.55741,0.87963,0.65075,0.80441,0.15966,0.41922,0.16601,0.49174,0.67506,0.99611
SAT1,8,0.60299,2.3882,0.15092,0.58386,0.016931,0.11442,0.36878,1.4608,0.0029528,0.0375,0.14406,0.7683
ADCY7,8,1.0402,1.6929,0.012467,0.16034,0.090474,0.27831,-0.30768,-0.49875,0.46161,0.76718,0.61796,0.99611
ESD,8,-0.17101,-0.68181,0.56037,0.87963,0.49536,0.6894,0.03995,0.15967,0.48819,0.78825,0.87314,0.99611
CYB5D1,8,0.35649,1.1898,0.42585,0.82868,0.23414,0.45836,0.20208,0.67457,0.091864,0.35934,0.49995,0.99611
SLC7A4,8,0.25661,1.0533,0.59055,0.89109,0.29218,0.51381,0.020096,0.082509,0.54495,0.81462,0.93424,0.99611
CFTR,8,0.38537,1.3718,0.38123,0.80304,0.17014,0.38518,0.17984,0.64039,0.12828,0.43348,0.52192,0.99611
FABP12,8,0.36881,1.6398,0.40814,0.81735,0.10104,0.29163,0.18994,0.84488,0.11056,0.39976,0.39818,0.99611
NT5DC2,8,0.65446,1.5314,0.12008,0.54627,0.12566,0.32764,0.023187,0.054234,0.53904,0.81114,0.95675,0.99611
ALG10,8,0.34465,0.4171,0.44521,0.84139,0.6766,0.81707,-0.062797,-0.075974,0.81955,0.95344,0.93944,0.99611
SRD5A2,8,0.089093,0.20313,0.92815,0.99138,0.83903,0.91302,0.12143,0.27766,0.25328,0.58967,0.78128,0.99611
ADAL,8,-0.18821,-0.89666,0.53379,0.8748,0.3699,0.58459,-0.0023744,-0.011346,0.62041,0.85994,0.99095,0.99611
ST3GAL1,8,0.027967,0.053246,0.94488,0.99174,0.95754,0.9807,0.013857,0.026405,0.56791,0.82586,0.97893,0.99611
NDUFA2,8,-0.40102,-1.0299,0.25984,0.72727,0.30306,0.52218,-0.85347,-2.1914,0.02231,0.15777,0.028425,0.24544
ORAI3,8,1.4544,1.3339,0.00065617,0.015873,0.18223,0.40074,0.28169,0.25833,0.020997,0.15274,0.79615,0.99611
OGFOD2,8,0.0021921,0.015066,0.89239,0.98851,0.98798,0.99572,0.15108,1.0388,0.18438,0.50857,0.29888,0.99611
SLC41A3,8,-0.70087,-1.8485,0.065945,0.42675,0.064524,0.23274,-0.081739,-0.21851,0.8855,0.97406,0.82703,0.99611
TYR,8,0.61526,1.499,0.14337,0.58039,0.13388,0.33614,0.28277,0.68893,0.020997,0.15274,0.49087,0.99611
LEPREL1,8,0.16823,0.98227,0.76575,0.95292,0.32597,0.54411,0.17867,1.0445,0.12959,0.43646,0.29624,0.99611
GLB1L,8,0.13553,0.32845,0.82972,0.97458,0.74257,0.86157,0.35382,0.8596,0.0059055,0.068702,0.39001,0.99611
SLC26A9,8,0.042331,0.15345,0.97375,0.9947,0.87805,0.93446,-0.15784,-0.57278,0.87303,0.96982,0.5668,0.99611
GALNT16,8,-0.053545,-0.28583,0.77822,0.95307,0.77501,0.88077,-0.022653,-0.12093,0.68504,0.89168,0.90374,0.99611
GNE,8,0.57705,0.77618,0.17224,0.60829,0.43764,0.6441,0.13772,0.18519,0.21621,0.55033,0.85308,0.99611
SLCO6A1,8,0.92152,2.034,0.029528,0.28213,0.041953,0.18916,0.13204,0.29128,0.22638,0.55645,0.77084,0.99611
ABCA12,8,0.19507,0.82746,0.70604,0.9316,0.40798,0.61609,0.1065,0.45223,0.28937,0.62598,0.65111,0.99611
ACSF3,8,-0.17946,-0.27217,0.54364,0.87689,0.78549,0.88656,-0.22016,-0.33429,0.68176,0.89093,0.73816,0.99611
ACSM3,8,0.66566,0.71276,0.11319,0.5416,0.476,0.67678,0.12674,0.13565,0.24049,0.57762,0.8921,0.99611
SLCO5A1,8,0.22428,0.70039,0.64961,0.91856,0.48368,0.68127,0.31256,0.97946,0.010171,0.089855,0.32735,0.99611
CNGA3,8,0.15855,0.33926,0.78018,0.95311,0.73442,0.85453,-0.10264,-0.21967,0.95374,0.99224,0.82613,0.99611
AK3,8,-0.54306,-2.5609,0.14764,0.58119,0.010441,0.08532,-0.11471,-0.54249,0.99639,0.99901,0.58748,0.99611
MGST3,8,0.23976,0.59986,0.62336,0.90304,0.5486,0.72955,0.079167,0.19834,0.36155,0.69265,0.84278,0.99611
GYG1,8,0.21574,0.65281,0.66503,0.9204,0.51388,0.70269,0.079101,0.2397,0.36188,0.69284,0.81056,0.99611
