Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
TERGENIC133621,1,0.55185,0.68611,0.48589,0.86583,0.49264,0.68817,0.23289,0.28955,0.604,0.84527,0.77216,0.99611
GMPPB,8,-2.6826,-7.5228,0,0,5.36E-14,6.54E-12,-2.7164,-7.6656,0,0,1.78E-14,1.36E-11
ATP1A1,8,-2.1549,-5.0914,0,0,3.56E-07,1.17E-05,-2.2624,-5.4214,0,0,5.91E-08,2.73E-06
PNPLA6,8,-0.17487,-0.73796,0.55151,0.87689,0.46054,0.66357,-0.33296,-1.4059,0.40879,0.73036,0.15974,0.81059
SOD1,8,-2.3853,-6.9355,0,0,4.05E-12,3.86E-10,-1.9306,-5.8452,0,0,5.06E-09,3.43E-07
ATP6V0C,8,-2.7914,-7.5701,0,0,3.73E-14,4.94E-12,-2.6996,-7.4262,0,0,1.12E-13,4.87E-11
ITGAV,8,-2.9984,-6.5154,0,0,7.25E-11,4.91E-09,-2.2761,-5.0215,0,0,5.13E-07,1.64E-05
PMVK,8,-1.3973,-3.688,0.0019685,0.0375,0.00022601,0.003892,-2.2568,-5.8455,0,0,5.05E-09,3.43E-07
MYC,8,-1.9005,-6.4491,0,0,1.13E-10,7.30E-09,-1.4179,-4.8886,0.00065617,0.011905,1.02E-06,2.92E-05
HMGCR,8,-1.1079,-2.6605,0.0075459,0.1122,0.0078018,0.069532,-2.2166,-5.2053,0,0,1.94E-07,7.47E-06
ITPA,8,-2.7918,-9.0955,0,0,9.41E-20,4.78E-17,-1.9147,-6.3352,0,0,2.37E-10,2.58E-08
CAD,8,-2.6039,-8.1444,0,0,3.81E-16,7.26E-14,-2.1388,-6.8066,0,0,1.00E-11,2.34E-09
TERGENIC117469,1,-0.92469,-1.4746,0.44062,0.83624,0.14031,0.3463,0.40916,0.65247,0.26312,0.59363,0.5141,0.99611
AHCY,8,-1.7769,-6.04,0,0,1.54E-09,8.24E-08,-1.9227,-6.5507,0,0,5.73E-11,9.19E-09
ATP7A,8,-2.2898,-9.5059,0,0,1.98E-21,3.02E-18,-0.4418,-1.8651,0.23885,0.57504,0.062163,0.43859
ATP6V0B,8,-2.9053,-7.0108,0,0,2.37E-12,2.41E-10,-2.0639,-5.4931,0,0,3.95E-08,1.94E-06
ATIC,8,-3.1924,-8.3419,0,0,7.31E-17,2.03E-14,-2.3112,-6.2673,0,0,3.67E-10,3.73E-08
NFS1,8,-2.7928,-7.5432,0,0,4.59E-14,5.82E-12,-2.3589,-6.606,0,0,3.95E-11,6.96E-09
DHDDS,8,-2.559,-6.1676,0,0,6.93E-10,3.84E-08,-2.2963,-5.7433,0,0,9.28E-09,5.89E-07
ATP6V1A,8,-2.1011,-4.8748,0,0,1.09E-06,3.25E-05,-1.8303,-4.2776,0,0,1.89E-05,0.00039996
DPAGT1,8,-2.6343,-7.706,0,0,1.30E-14,2.08E-12,-2.033,-6.0211,0,0,1.73E-09,1.47E-07
ATP6V1E1,8,-1.641,-4.33,0.00065617,0.015873,1.49E-05,0.00034178,-2.0525,-5.3999,0,0,6.67E-08,2.99E-06
AMY2B,4,-0.88546,-3.4563,0.12369,0.55523,0.00054766,0.0079869,0.07869,0.30838,0.56463,0.82513,0.75779,0.99611
ABCE1,8,-2.842,-5.6591,0,0,1.52E-08,6.53E-07,-2.1992,-4.5338,0,0,5.79E-06,0.00014242
COX6B1,8,-1.4859,-4.9309,0.00098425,0.023256,8.19E-07,2.50E-05,-1.649,-5.4932,0,0,3.95E-08,1.94E-06
DOHH,8,-1.8352,-5.7469,0,0,9.09E-09,4.13E-07,-2.8061,-8.61,0,0,7.30E-18,2.23E-14
SLC25A28,8,-0.067022,-0.27502,0.75262,0.94872,0.7833,0.88525,-0.52137,-2.137,0.16306,0.49027,0.032595,0.27157
SEPHS2,8,-2.0657,-5.9024,0,0,3.58E-09,1.73E-07,-1.8572,-5.4692,0,0,4.52E-08,2.15E-06
COX17,8,-0.67405,-2.3904,0.076772,0.47465,0.016828,0.11427,-0.9278,-3.2923,0.012795,0.10428,0.00099367,0.014286
ALG2,8,-1.9218,-5.6174,0,0,1.94E-08,8.21E-07,-1.5643,-4.6379,0.00032808,0.0078125,3.52E-06,9.09E-05
CYCS,8,-3.0626,-9.4361,0,0,3.87E-21,3.93E-18,-1.9996,-6.3499,0,0,2.15E-10,2.43E-08
ATP13A3,8,-0.010747,-0.042074,0.86417,0.98137,0.96644,0.98567,-0.26538,-1.0394,0.55741,0.82038,0.29864,0.99611
GUK1,8,-2.439,-6.4414,0,0,1.18E-10,7.51E-09,-2.8198,-7.439,0,0,1.01E-13,4.87E-11
RRM1,8,-4.2321,-8.7932,0,0,1.45E-18,6.33E-16,-2.9606,-6.5079,0,0,7.62E-11,1.11E-08
FDX1L,8,-1.0621,-3.5404,0.010827,0.14732,0.00039956,0.0061716,-1.4059,-4.6865,0.00065617,0.011905,2.78E-06,7.56E-05
PIK3C3,8,-2.5244,-6.668,0,0,2.59E-11,1.93E-09,-2.3864,-6.4153,0,0,1.41E-10,1.71E-08
PPCDC,8,-1.6981,-7.0946,0.00032808,0.0096154,1.30E-12,1.41E-10,-1.414,-5.9321,0.00065617,0.011905,2.99E-09,2.17E-07
PTGS2,8,-0.25619,-1.1936,0.42848,0.82868,0.23263,0.45721,-0.071623,-0.33485,0.84908,0.96177,0.73774,0.99611
IPPK,8,-2.142,-6.7642,0,0,1.34E-11,1.10E-09,-1.3713,-4.5503,0.00065617,0.011905,5.36E-06,0.00013477
HMGCS1,8,-2.39,-6.8709,0,0,6.38E-12,5.56E-10,-1.792,-5.3079,0,0,1.11E-07,4.71E-06
NMNAT1,8,-1.1773,-3.3168,0.0049213,0.082873,0.00091051,0.012501,-1.3517,-3.8274,0.00065617,0.011905,0.00012952,0.0022371
PYROXD1,8,-0.83887,-2.5126,0.036417,0.31534,0.011984,0.092943,-1.9044,-5.5685,0,0,2.57E-08,1.37E-06
DTYMK,8,-2.1482,-6.422,0,0,1.34E-10,8.37E-09,-2.1509,-6.4763,0,0,9.40E-11,1.25E-08
RFK,8,-1.9505,-6.005,0,0,1.91E-09,9.72E-08,-1.9273,-5.9803,0,0,2.23E-09,1.74E-07
SLC33A1,8,-0.48127,-2.0787,0.18963,0.63181,0.037646,0.17845,-0.25278,-1.1,0.59154,0.84017,0.27134,0.98689
UQCR10,8,-0.7201,-2.4965,0.060696,0.4013,0.012543,0.09606,-1.0827,-3.7531,0.0022966,0.03211,0.00017464,0.0029248
GFPT1,8,-0.81735,-2.8972,0.040354,0.32713,0.0037651,0.039034,-0.78666,-2.7937,0.036745,0.21663,0.0052104,0.063021
UMPS,8,-2.0827,-5.9236,0,0,3.15E-09,1.55E-07,-1.8574,-5.4574,0,0,4.83E-08,2.27E-06
PKM,8,-2.7264,-8.2232,0,0,1.98E-16,4.65E-14,-1.9121,-5.9963,0,0,2.02E-09,1.66E-07
MVD,8,-1.7602,-5.2524,0,0,1.50E-07,5.26E-06,-1.7149,-5.1909,0,0,2.09E-07,7.97E-06
MAT2A,8,-1.8554,-5.1269,0,0,2.95E-07,9.87E-06,-1.6434,-4.5766,0,0,4.73E-06,0.00012004
ATP5SL,8,-0.30933,-1.8088,0.35991,0.79181,0.070484,0.24583,-0.41644,-2.4368,0.26936,0.59971,0.014818,0.15055
ADCY5,8,-0.69464,-3.0163,0.067585,0.4346,0.0025585,0.029317,-0.38511,-1.6845,0.31857,0.65722,0.092078,0.57629
DUT,8,-1.3733,-3.9135,0.0019685,0.0375,9.10E-05,0.0017548,-1.3586,-3.9174,0.00065617,0.011905,8.95E-05,0.0016238
NDUFB6,8,-0.7034,-3.3461,0.065289,0.42431,0.0008196,0.011407,-0.91491,-4.3554,0.01378,0.11141,1.33E-05,0.00029337
TYMS,8,-2.8941,-8.2129,0,0,2.16E-16,4.70E-14,-2.2094,-6.484,0,0,8.93E-11,1.24E-08
FPGS,8,-1.6935,-4.6031,0.00032808,0.0096154,4.16E-06,0.00011327,-2.3945,-6.4442,0,0,1.16E-10,1.48E-08
ITGB3,8,-1.3285,-5.1279,0.0019685,0.0375,2.93E-07,9.87E-06,-0.080442,-0.31309,0.87795,0.97203,0.75422,0.99611
SLC38A3,8,-0.37661,-2.2518,0.28412,0.74153,0.024335,0.14075,-0.24202,-1.4484,0.61909,0.85994,0.1475,0.78051
STK11,8,0.10603,0.38641,0.89272,0.98851,0.69919,0.83247,0.64526,2.366,0,0,0.017982,0.17567
GPI,8,-2.162,-6.3741,0,0,1.84E-10,1.08E-08,-2.3837,-7.049,0,0,1.80E-12,5.49E-10
PPAT,8,-2.2628,-6.7566,0,0,1.41E-11,1.13E-09,-2.3682,-7.1405,0,0,9.30E-13,3.15E-10
IMPDH2,8,-1.9352,-5.661,0,0,1.51E-08,6.53E-07,-1.77,-5.2471,0,0,1.54E-07,6.12E-06
SCN11A,8,-0.13177,-0.70931,0.62566,0.90594,0.47813,0.67783,-0.12029,-0.64792,0.98556,0.99504,0.51704,0.99611
ALG11,8,-0.31375,-1.0765,0.35269,0.78843,0.2817,0.50382,-1.4801,-5.0449,0.00065617,0.011905,4.54E-07,1.50E-05
HSD17B10,8,-2.1289,-6.07,0,0,1.28E-09,6.96E-08,-2.5275,-7.1909,0,0,6.44E-13,2.45E-10
HSD17B7,8,-0.74971,-4.1396,0.053478,0.37731,3.48E-05,0.00075197,-0.11071,-0.61473,0.97802,0.99466,0.53873,0.99611
KDM5B,8,-1.078,-4.6954,0.0098425,0.13636,2.66E-06,7.51E-05,-0.47625,-2.1008,0.20243,0.53606,0.035661,0.28831
RRM2,8,-1.8579,-4.7688,0,0,1.85E-06,5.38E-05,-1.5672,-4.1624,0.00032808,0.0078125,3.15E-05,0.00061539
KDM4A,8,-0.89143,-3.0766,0.026903,0.27333,0.0020936,0.024927,-1.0823,-3.7445,0.0026247,0.035714,0.00018079,0.0030111
BCS1L,8,-1.6612,-3.828,0.00065617,0.015873,0.00012918,0.002372,-2.3131,-5.2658,0,0,1.40E-07,5.83E-06
SDHC,8,-0.7809,-2.6155,0.0479,0.3561,0.0089095,0.075855,-1.3436,-4.4815,0.00065617,0.011905,7.41E-06,0.00017125
SLC32A1,8,-0.35026,-1.9634,0.31004,0.76064,0.0496,0.20336,-0.10347,-0.58032,0.95604,0.99224,0.5617,0.99611
KCNT1,8,-0.26113,-2.1467,0.42421,0.82832,0.031813,0.16188,-0.035421,-0.29147,0.73097,0.91349,0.77069,0.99611
DHFR,8,-2.7319,-6.5608,0,0,5.35E-11,3.79E-09,-2.821,-6.8432,0,0,7.74E-12,1.97E-09
NAMPT,8,-1.7494,-6.1972,0,0,5.75E-10,3.25E-08,-0.93311,-3.3476,0.012467,0.1027,0.00081524,0.012176
TFRC,8,-2.4075,-6.3839,0,0,1.73E-10,1.03E-08,-2.4715,-6.615,0,0,3.71E-11,6.96E-09
DOLK,8,-1.2913,-3.675,0.0019685,0.0375,0.00023786,0.004073,-1.8031,-5.1001,0,0,3.40E-07,1.19E-05
GNPTAB,8,-1.0176,-3.9286,0.014436,0.17814,8.54E-05,0.0016912,-0.43011,-1.6799,0.25558,0.5897,0.092974,0.5807
SLC22A12,8,-0.79372,-3.2467,0.045276,0.34673,0.0011676,0.015292,-0.60895,-2.5129,0.10269,0.38547,0.011973,0.1276
TSC1,8,-0.83715,-3.2463,0.036417,0.31534,0.001169,0.015292,-0.61428,-2.388,0.10007,0.38077,0.016939,0.16709
GAPDH,8,-3.1374,-7.621,0,0,2.52E-14,3.49E-12,-2.2553,-5.7204,0,0,1.06E-08,6.35E-07
PGAM1,8,-1.6966,-5.3637,0.00032808,0.0096154,8.15E-08,2.99E-06,-1.4699,-4.6802,0.00065617,0.011905,2.87E-06,7.73E-05
GART,8,-2.1119,-6.6998,0,0,2.09E-11,1.59E-09,-1.5797,-5.1728,0.00032808,0.0078125,2.31E-07,8.57E-06
RHBG,8,-1.2302,-5.1572,0.0032808,0.059524,2.51E-07,8.58E-06,-0.80454,-3.4184,0.032152,0.19639,0.00062987,0.0095992
NDOR1,8,-1.5582,-4.3615,0.00065617,0.015873,1.29E-05,0.00030485,-1.6726,-4.7078,0,0,2.50E-06,6.94E-05
G6PD,8,-1.1989,-3.1444,0.0045932,0.079096,0.001664,0.020958,-1.7472,-4.5488,0,0,5.39E-06,0.00013477
PDSS2,8,-0.63618,-2.6541,0.093504,0.51146,0.0079526,0.070402,-0.862,-3.6026,0.020669,0.15144,0.00031502,0.0050009
SPHK2,8,0.20301,0.98646,0.6916,0.92904,0.32391,0.54324,-0.28271,-1.3733,0.51804,0.80356,0.16965,0.82602
RAC1,8,-1.8682,-5.5381,0,0,3.06E-08,1.23E-06,-1.2721,-3.8811,0.00065617,0.011905,0.00010397,0.0018626
NDUFC2,8,-0.58726,-2.6378,0.11877,0.54354,0.0083448,0.072459,-0.73807,-3.3232,0.049541,0.25768,0.00088982,0.013102
COX4I2,8,-0.57561,-2.3436,0.12664,0.55587,0.019097,0.12341,-0.67889,-2.77,0.070866,0.30946,0.0056062,0.066489
COX7C,8,-1.1787,-4.3601,0.0049213,0.082873,1.30E-05,0.00030485,-1.252,-4.6543,0.00098425,0.016949,3.25E-06,8.54E-05
ATP6V0D1,8,-1.5066,-3.9707,0.00065617,0.015873,7.17E-05,0.0014468,-1.6779,-4.4376,0,0,9.10E-06,0.00020689
GGPS1,8,-2.3679,-6.5895,0,0,4.41E-11,3.20E-09,-1.7573,-4.9952,0,0,5.88E-07,1.79E-05
SLC39A1,8,-1.5644,-5.478,0.00065617,0.015873,4.30E-08,1.66E-06,-0.49869,-1.7844,0.18045,0.50857,0.074361,0.49428
PGM3,8,-1.205,-3.8984,0.0042651,0.074286,9.68E-05,0.0018444,-1.3047,-4.2306,0.00065617,0.011905,2.33E-05,0.00047994
QSOX2,8,-0.1258,-0.68635,0.63911,0.9127,0.4925,0.68817,-0.048969,-0.26826,0.77625,0.93889,0.7885,0.99611
CERS2,8,-2.342,-6.9803,0,0,2.95E-12,2.90E-10,-1.6281,-5.1506,0,0,2.60E-07,9.42E-06
ATP6V1F,8,-1.5826,-4.0409,0.00065617,0.015873,5.33E-05,0.0010967,-1.7566,-4.5162,0,0,6.30E-06,0.00015199
ITPK1,8,-2.2278,-6.8359,0,0,8.15E-12,6.90E-10,-1.7954,-5.6893,0,0,1.28E-08,7.48E-07
UQCRFS1,8,-2.2038,-6.3986,0,0,1.57E-10,9.56E-09,-1.8028,-5.4002,0,0,6.66E-08,2.99E-06
MVK,8,-1.7762,-5.5506,0,0,2.85E-08,1.16E-06,-1.2665,-4.0005,0.00065617,0.011905,6.32E-05,0.0011821
NDUFS8,8,-0.3046,-1.4076,0.36483,0.79181,0.15925,0.36996,-0.90886,-4.1939,0.01378,0.11141,2.74E-05,0.00055344
HCN3,8,-0.36093,-2.067,0.29823,0.75,0.038738,0.18082,-0.31719,-1.8213,0.44062,0.75633,0.068558,0.46748
PIGX,8,-0.35683,-1.9057,0.30348,0.75326,0.05669,0.21817,-0.2933,-1.5676,0.49344,0.7895,0.11697,0.6791
CYP2E1,8,0.089112,0.54945,0.92815,0.99138,0.5827,0.75344,-0.1253,-0.77282,0.96654,0.99226,0.43963,0.99611
CYP2B6,8,-0.33792,-1.4091,0.3271,0.77409,0.1588,0.36949,-0.51918,-2.1698,0.16503,0.49027,0.030022,0.25544
FDXR,8,-2.5097,-6.7419,0,0,1.56E-11,1.22E-09,-2.0407,-5.7868,0,0,7.18E-09,4.65E-07
AGMAT,8,-0.96871,-4.4532,0.019357,0.22348,8.46E-06,0.00020466,-0.49255,-2.2815,0.18438,0.50857,0.02252,0.20308
ENO1,8,-3.6008,-9.3002,0,0,1.40E-20,1.07E-17,-2.8959,-7.6121,0,0,2.70E-14,1.64E-11
NAA30,8,-0.13624,-0.54074,0.61877,0.89981,0.58869,0.75784,-0.83592,-3.3082,0.025262,0.17149,0.00093885,0.013692
UBIAD1,8,-0.95711,-2.8047,0.020669,0.23077,0.0050369,0.050008,-1.2961,-3.7991,0.00065617,0.011905,0.00014523,0.0024858
LONP1,8,-0.99242,-3.1347,0.017388,0.20463,0.0017201,0.0214,-1.4933,-4.7048,0.00065617,0.011905,2.54E-06,6.98E-05
SFXN4,8,-0.17801,-1.1249,0.5456,0.87689,0.26065,0.48282,-0.14856,-0.94033,0.90157,0.98213,0.34705,0.99611
SIAE,8,-0.21155,-1.0718,0.49639,0.86705,0.28379,0.50637,-0.13404,-0.67986,0.94193,0.99036,0.49659,0.99611
EXTL1,8,-0.93011,-3.0804,0.023294,0.24912,0.0020669,0.024705,-0.84277,-2.8187,0.023622,0.16514,0.0048222,0.059266
UGP2,8,-1.5671,-5.9748,0.00065617,0.015873,2.30E-09,1.15E-07,-0.59422,-2.322,0.11024,0.39905,0.020234,0.18929
ADSS,8,-1.2678,-4.4117,0.0029528,0.054545,1.03E-05,0.00024619,-1.4382,-5.0197,0.00065617,0.011905,5.17E-07,1.64E-05
DHODH,8,-1.3359,-4.1298,0.0019685,0.0375,3.63E-05,0.0007795,-2.1815,-6.6456,0,0,3.02E-11,6.14E-09
SLC5A1,8,-0.26703,-1.0477,0.41765,0.82406,0.29477,0.51657,-0.46213,-1.8168,0.21522,0.55033,0.069243,0.46851
SLC7A7,8,-0.42376,-2.165,0.23786,0.69981,0.030391,0.15875,-0.27689,-1.4226,0.53346,0.81114,0.15485,0.80338
TERGENIC9892,1,-0.07129,-0.17562,0.96227,0.99425,0.86059,0.92656,-0.14515,-0.35756,0.71621,0.90393,0.72067,0.99611
FH,8,-1.692,-6.2512,0.00032808,0.0096154,4.07E-10,2.34E-08,-0.70035,-2.652,0.061024,0.28571,0.008002,0.091348
ELOVL1,8,-0.65723,-3.1163,0.083333,0.48752,0.0018314,0.022509,-0.3331,-1.5882,0.40846,0.73021,0.11224,0.66044
NAGK,8,-0.84225,-2.9098,0.035433,0.31304,0.0036162,0.037877,-0.81793,-2.8408,0.029199,0.18658,0.0045001,0.056214
ATP6V1G1,8,-1.5375,-4.5851,0.00065617,0.015873,4.54E-06,0.00012074,-1.275,-3.8657,0.00065617,0.011905,0.00011078,0.0019518
PISD,8,-0.80905,-2.2329,0.042651,0.33854,0.025554,0.1445,-2.039,-5.5123,0,0,3.54E-08,1.83E-06
ABCB7,8,-0.82461,-2.4528,0.03937,0.32609,0.014174,0.10385,-1.584,-4.6527,0.00032808,0.0078125,3.28E-06,8.54E-05
ATP6V1B2,8,-1.7204,-4.9368,0,0,7.94E-07,2.45E-05,-1.7426,-5.0332,0,0,4.82E-07,1.56E-05
COX6C,7,-1.1439,-3.4627,0.0098425,0.13636,0.00053486,0.0078378,-1.0975,-3.3667,0.0059055,0.068702,0.0007607,0.011478
SDHB,8,-1.0036,-2.7971,0.01542,0.18359,0.0051568,0.050703,-1.691,-4.672,0,0,2.98E-06,7.91E-05
OXA1L,8,-0.30905,-1.1579,0.36056,0.79181,0.24689,0.4724,-0.93147,-3.4807,0.012467,0.1027,0.00050017,0.0076996
MAN1C1,8,-0.37875,-1.4839,0.28084,0.74153,0.13783,0.34183,-0.39455,-1.5505,0.30085,0.64036,0.12101,0.69069
COX7B,8,-1.3388,-4.3143,0.0019685,0.0375,1.60E-05,0.00036426,-1.2651,-4.1019,0.00065617,0.011905,4.10E-05,0.00079549
SLC35B1,8,-0.9588,-3.0007,0.020341,0.23077,0.0026933,0.030259,-1.49,-4.6323,0.00065617,0.011905,3.62E-06,9.26E-05
SLC12A1,8,-0.79253,-3.4519,0.045932,0.34826,0.00055661,0.0080787,-0.37595,-1.6464,0.33268,0.6634,0.099689,0.61309
GSS,8,-0.46112,-2.3625,0.20801,0.65973,0.018153,0.11976,-0.028139,-0.14441,0.70243,0.89694,0.88517,0.99611
NAALADL1,8,-0.87609,-3.3335,0.028871,0.28205,0.00085775,0.011884,-1.0921,-4.1697,0.0022966,0.03211,3.05E-05,0.0005997
LYPLA1,8,-0.063464,-0.34985,0.75787,0.95218,0.72645,0.84999,-0.13671,-0.75563,0.93373,0.98682,0.44987,0.99611
SPTLC1,8,-1.337,-4.1815,0.0019685,0.0375,2.90E-05,0.00063498,-0.65608,-2.1029,0.080381,0.337,0.035476,0.28758
AMD1,8,-0.78858,-2.1735,0.046588,0.35062,0.029743,0.15672,-1.9171,-5.1785,0,0,2.24E-07,8.42E-06
COASY,8,-1.4571,-4.1727,0.0016404,0.036496,3.01E-05,0.00065533,-1.1999,-3.5309,0.0013123,0.020408,0.00041423,0.0064747
NADK,8,-1.8935,-6.8723,0,0,6.32E-12,5.56E-10,-1.3503,-4.9335,0.00065617,0.011905,8.08E-07,2.37E-05
PRODH2,8,-0.86141,-3.3986,0.031824,0.29573,0.00067736,0.0096027,-0.4986,-2.006,0.18077,0.50857,0.044855,0.34525
MOCS3,8,-1.3397,-4.4552,0.0019685,0.0375,8.38E-06,0.00020435,-1.3551,-4.5378,0.00065617,0.011905,5.69E-06,0.00014088
PGK1,8,-1.0669,-2.5866,0.010499,0.14414,0.0096929,0.080502,-2.2392,-5.261,0,0,1.43E-07,5.85E-06
MTHFD1,8,-1.6081,-4.4582,0.00065617,0.015873,8.27E-06,0.00020319,-2.0516,-5.6665,0,0,1.46E-08,8.38E-07
GLUD1,8,0.31712,1.4979,0.49114,0.86583,0.13415,0.33654,-0.0229,-0.10817,0.68602,0.89168,0.91386,0.99611
TERGENIC122891,1,-0.5164,-0.9424,0.64108,0.9127,0.34599,0.56342,0.42016,0.76673,0.24606,0.58147,0.44324,0.99611
POFUT1,8,-0.14191,-0.65962,0.60827,0.89705,0.5095,0.69889,-0.12426,-0.58026,0.97113,0.99263,0.56174,0.99611
DDOST,8,-0.57517,-1.6039,0.12697,0.55587,0.10875,0.3027,-1.0241,-2.8541,0.0059055,0.068702,0.0043163,0.054141
XYLT2,8,-1.1993,-4.2617,0.0045932,0.079096,2.03E-05,0.00045796,-1.2108,-4.3219,0.0013123,0.020408,1.55E-05,0.00033676
ACACA,8,-2.3901,-8.2825,0,0,1.21E-16,3.06E-14,-0.77175,-2.8233,0.040026,0.22804,0.0047537,0.058661
TERGENIC53513,1,-2.2783,-3.2045,0.16273,0.60267,0.0013528,0.017398,-0.76273,-1.0726,0.28773,0.62464,0.28346,0.99151
RDH8,8,-0.40183,-1.7206,0.25919,0.72727,0.085315,0.27257,-0.54847,-2.3541,0.14501,0.46624,0.018567,0.17909
AASDHPPT,8,-1.0859,-2.9999,0.0082021,0.11792,0.0027003,0.030259,-1.5299,-4.2166,0.00032808,0.0078125,2.48E-05,0.00050391
NAA20,8,-1.7423,-4.7175,0,0,2.39E-06,6.80E-05,-1.6347,-4.5033,0,0,6.69E-06,0.00015933
UQCRC1,8,-1.1221,-3.2008,0.0059055,0.092784,0.0013705,0.017551,-1.791,-5.0737,0,0,3.90E-07,1.34E-05
SARDH,8,-0.35708,-1.4503,0.30315,0.75326,0.14698,0.35356,-0.56636,-2.3053,0.12992,0.43654,0.021149,0.19358
COX5A,8,-1.155,-3.9823,0.0055774,0.091398,6.82E-05,0.0013867,-1.2042,-4.1861,0.0013123,0.020408,2.84E-05,0.00056484
GCLC,8,-0.52431,-2.2095,0.15879,0.59387,0.027143,0.1496,-0.065,-0.27452,0.82743,0.95652,0.78369,0.99611
CTPS1,8,-2.602,-8.3679,0,0,5.86E-17,1.79E-14,-2.4145,-7.8012,0,0,6.13E-15,6.23E-12
ATP6V1D,8,-1.9152,-5.4839,0,0,4.16E-08,1.63E-06,-1.3808,-4.0323,0.00065617,0.011905,5.52E-05,0.0010522
FXN,8,-1.2978,-4.797,0.0019685,0.0375,1.61E-06,4.72E-05,-1.524,-5.6446,0.00032808,0.0078125,1.66E-08,9.17E-07
COX11,8,-1.1763,-3.9041,0.0052493,0.086957,9.46E-05,0.0018134,-1.5395,-5.1086,0.00032808,0.0078125,3.25E-07,1.15E-05
ST6GALNAC4,8,-0.60476,-2.4635,0.10925,0.53623,0.013759,0.10265,-0.6859,-2.7975,0.06857,0.30246,0.0051499,0.062538
HAAO,8,-0.70617,-2.974,0.063648,0.41542,0.0029398,0.032822,-0.31265,-1.3205,0.44948,0.76053,0.18665,0.85176
GNPNAT1,8,-1.0639,-4.2107,0.010827,0.14732,2.55E-05,0.00056644,-1.176,-4.6769,0.0013123,0.020408,2.91E-06,7.79E-05
ALDOA,8,-2.8104,-6.5291,0,0,6.62E-11,4.58E-09,-2.3768,-5.7323,0,0,9.91E-09,6.04E-07
SULT1E1,8,0.55981,1.9475,0.18504,0.62806,0.051473,0.20661,0.090942,0.31633,0.3271,0.66026,0.75175,0.99611
PDE6C,8,-0.16088,-0.81103,0.57546,0.88419,0.41735,0.62479,-0.12287,-0.62046,0.97671,0.99466,0.53495,0.99611
ALG9,8,-0.5989,-2.6087,0.1122,0.53858,0.0090899,0.076961,0.18458,0.81026,0.11844,0.41352,0.41779,0.99611
NAA50,8,-1.0745,-3.6395,0.0098425,0.13636,0.0002732,0.0045012,-1.233,-4.1852,0.00098425,0.016949,2.85E-05,0.00056484
RPE,8,-1.3535,-3.5991,0.0019685,0.0375,0.00031926,0.0050948,-1.9861,-5.2602,0,0,1.44E-07,5.85E-06
TERGENIC47459,1,0.19574,0.35824,0.80741,0.96321,0.72017,0.84592,-0.26473,-0.48452,0.57743,0.83082,0.62802,0.99611
AQP12B,8,-0.27918,-1.5985,0.39862,0.81287,0.10994,0.3052,-0.32779,-1.8799,0.41765,0.738,0.060116,0.42811
ALG13,8,-1.1897,-3.7575,0.0049213,0.082873,0.00017165,0.0030068,-0.94086,-3.033,0.011483,0.096419,0.002421,0.032365
MCAT,8,-1.7691,-5.5257,0,0,3.28E-08,1.30E-06,-1.4222,-4.515,0.00065617,0.011905,6.33E-06,0.00015199
DBH,8,0.21706,1.0221,0.66371,0.9204,0.30672,0.52648,-0.02061,-0.09714,0.67618,0.88836,0.92262,0.99611
ATP6V1B1,8,-1.2403,-5.8859,0.0032808,0.059524,3.96E-09,1.89E-07,-0.49559,-2.3633,0.18209,0.50857,0.018115,0.17599
PPCS,8,-1.2416,-4.5102,0.0032808,0.059524,6.48E-06,0.00016183,-1.0934,-4.0203,0.0022966,0.03211,5.81E-05,0.0011006
SLC25A25,8,-0.43517,-1.7529,0.22835,0.68738,0.079626,0.26576,-0.43015,-1.7357,0.25558,0.5897,0.082625,0.53206
PLCB2,8,-0.79004,-3.032,0.046588,0.35062,0.0024292,0.02826,-0.68349,-2.6349,0.069882,0.30692,0.0084154,0.094302
DLAT,8,-0.55752,-2.9439,0.13845,0.57682,0.0032413,0.03505,-0.37984,-2.007,0.32808,0.66094,0.044745,0.34525
SLC45A1,8,0.16509,0.71492,0.77165,0.95292,0.47466,0.67637,-0.11537,-0.49983,0.99967,0.99967,0.6172,0.99611
ATP6AP2,8,-1.453,-3.7687,0.0016404,0.036496,0.00016409,0.0029045,-1.4327,-3.7395,0.00065617,0.011905,0.00018441,0.0030547
PFKL,8,-0.30771,-1.7671,0.36089,0.79181,0.07722,0.25993,-0.19057,-1.1002,0.77461,0.93765,0.27123,0.98689
PRDX3,8,0.20451,1.2796,0.68865,0.92854,0.20069,0.42469,0.058674,0.3672,0.42487,0.74383,0.71347,0.99611
PDHB,8,0.0042849,0.019289,0.89764,0.98851,0.98461,0.9935,-0.29579,-1.3319,0.48753,0.78825,0.18289,0.85105
SLC4A1,8,-0.67743,-2.1587,0.075787,0.47047,0.030877,0.16033,-1.2493,-3.9631,0.00098425,0.016949,7.40E-05,0.0013749
SDHA,8,-1.3337,-3.6572,0.0019685,0.0375,0.00025501,0.0042706,-1.7441,-4.7688,0,0,1.85E-06,5.28E-05
